,"AAEC","9000","DOCTORAL RESEARCH",,"82421","ESCALANTE",,25,3,,,
,"AAEC","9300","DOCT DISSERTATION",,"02419","DORFMAN",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"02422","ESCALANTE",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"02431","HOUSTON",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"12423","FERREIRA",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"22415","AMES",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"62434","MULLEN",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"72426","FLORKOWSKI",,25,1,,,
,"AAEC","9300","DOCT DISSERTATION",,"82418","BERGSTROM",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"82435","WETZSTEIN",,25,0,,,
,"AAEC","9300","DOCT DISSERTATION",,"92427","FONSAH",,25,2,,,
,"AAEC","9300","DOCT DISSERTATION",,"92430","GUNTER",,25,1,,,
,"ACCT","1160","SURVEY OF ACC",,"58732","FARMER",,100,66,,,
,"ACCT","2101","PRIN OF ACC I",,"08735","BHANDARKAR",,280,278,,,
,"ACCT","2101","PRIN OF ACC I",,"78733","BHANDARKAR",,280,267,,,
,"ACCT","2101","PRIN OF ACC I",,"98734","BHANDARKAR",,280,277,,,
,"ACCT","2101H","PRIN OF ACC I H",,"28736","GAVER",,35,35,,,
,"ACCT","2101H","PRIN OF ACC I H",,"48737","GAVER",,35,35,,,
,"ACCT","2102","PRIN ACC II",,"68738","FARMER",,250,239,,,
,"ACCT","2102","PRIN ACC II",,"88739","FARMER",,250,248,,,
,"ACCT","5000","INTERMED ACC I",,"08743","RIVERS",,43,43,,,
,"ACCT","5000","INTERMED ACC I",,"18744","RIVERS",,43,43,,,
,"ACCT","5000","INTERMED ACC I",,"38745","RIVERS",,63,64,,,
,"ACCT","5010","INTERMED ACC II",,"58746","THAYER",,26,25,,,
,"ACCT","5010","INTERMED ACC II",,"78747","THAYER",,26,26,,,
,"ACCT","5010","INTERMED ACC II",,"98748","THAYER",,35,33,,,
,"ACCT","5020","INTER ACC III",,"08749","STOMBERG",,22,24,,,
,"ACCT","5020","INTER ACC III",,"78750","STOMBERG",,22,19,,,
,"ACCT","5020","INTER ACC III",,"98751","STOMBERG",,22,18,,,
,"ACCT","5100","MANAGERIAL ACC I",,"21510","BAMBER",,25,25,,,
,"ACCT","5100","MANAGERIAL ACC I",,"58780","BAMBER",,25,25,,,
,"ACCT","5100","MANAGERIAL ACC I",,"98779","BAMBER",,30,16,,,
,"ACCT","5100H","MANAGERIAL ACC I H",,"41511","BAMBER",,2,1,,,
,"ACCT","5100H","MANAGERIAL ACC I H",,"78781","BAMBER",,2,0,,,
,"ACCT","5100H","MANAGERIAL ACC I H",,"98782","BAMBER",,2,1,,,
,"ACCT","5200","AUDIT RISK & CNTRL",,"08783","MATTHEWS",,42,36,,,
,"ACCT","5200","AUDIT RISK & CNTRL",,"28784","MATTHEWS",,42,43,,,
,"ACCT","5200","AUDIT RISK & CNTRL",,"48785","MATTHEWS",,42,43,,,
,"ACCT","5200H","AUDIT RISK/CNTRL H",,"08788","MATTHEWS",,2,1,,,
,"ACCT","5200H","AUDIT RISK/CNTRL H",,"68786","MATTHEWS",,1,0,,,
,"ACCT","5200H","AUDIT RISK/CNTRL H",,"88787","MATTHEWS",,1,0,,,
,"ACCT","5310","SYSTEMS I",,"08791","CHRIST",,38,39,,,
,"ACCT","5310","SYSTEMS I",,"18789","CHRIST",,48,48,,,
,"ACCT","5310","SYSTEMS I",,"88790","CHRIST",,46,46,,,
,"ACCT","5310H","SYSTEMS I H",,"18792","CHRIST",,1,0,,,
,"ACCT","5310H","SYSTEMS I H",,"38793","CHRIST",,2,2,,,
,"ACCT","5310H","SYSTEMS I H",,"58794","CHRIST",,1,0,,,
,"ACCT","5400","INTRO TO TAXATION",,"08752","NESBITT",,40,40,,,
,"ACCT","5400","INTRO TO TAXATION",,"78795","SCHWAB",,71,71,,,
,"ACCT","5400","INTRO TO TAXATION",,"98796","SCHWAB",,39,39,,,
,"ACCT","5400H","TAX I H",,"08797","SCHWAB",,5,5,,,
,"ACCT","5400H","TAX I H",,"28798","SCHWAB",,3,3,,,
,"ACCT","5710","PROF ACC I",,"28753","FARMER",,150,141,,,
,"ACCT","5720","PRO ACC II",,"48754","CZARICK",,27,23,,,
,"ACCT","5720","PRO ACC II",,"68755","CZARICK",,27,22,,,
,"ACCT","5720","PRO ACC II",,"88756","CZARICK",,27,26,,,
,"ACCT","5800","INTERNSHIP IN ACCT",,"08757","SCHWAB",,20,0,,,
,"ACCT","5990","DIRECTED STUDY",,"48740","CAMPBELL",,1,0,,,
,"ACCT","5990","DIRECTED STUDY",,"68741","AYERS",,1,1,,,
,"ACCT","5990","DIRECTED STUDY",,"88742","AYERS",,1,0,,,
,"ACCT","6000","FIN ACC",,"18758","DAWKINS",,60,66,,,
,"ACCT","7005","GRAD STUDENT SEM",,"38759","AYERS",,5,5,,,
,"ACCT","7100","MANAGERIAL I",,"48799","BAMBER",,1,0,,,
,"ACCT","7100","MANAGERIAL I",,"61512","BAMBER",,1,1,,,
,"ACCT","7100","MANAGERIAL I",,"78800","BAMBER",,1,0,,,
,"ACCT","7200","AUDIT RISK & CNTRL",,"08802","MATTHEWS",,1,0,,,
,"ACCT","7200","AUDIT RISK & CNTRL",,"28803","MATTHEWS",,1,0,,,
,"ACCT","7200","AUDIT RISK & CNTRL",,"98801","MATTHEWS",,1,0,,,
,"ACCT","7310","SYSTEMS I",,"48804","CHRIST",,1,1,,,
,"ACCT","7310","SYSTEMS I",,"68805","CHRIST",,1,1,,,
,"ACCT","7310","SYSTEMS I",,"88806","CHRIST",,1,0,,,
,"ACCT","7400","TAXATION I",,"08807","SCHWAB",,1,4,,,
,"ACCT","7400","TAXATION I",,"18808","SCHWAB",,1,0,,,
,"ACCT","7410","TAXATION II",,"08760","MCGINTY",,54,55,,,
,"ACCT","7410","TAXATION II",,"18761","MCGINTY",,54,51,,,
,"ACCT","7415","TAX POLICY",,"38762","AYERS",,20,18,,,
,"ACCT","7415","TAX POLICY",,"58763","AYERS",,20,21,,,
,"ACCT","7430","ESTATE AND GIFT",,"78764","MCGINTY",,50,40,,,
,"ACCT","7435","CROSS-JURISDICT TAX",,"98765","MCGINTY",,50,40,,,
,"ACCT","7440","CORP TAX I",,"08766","SCHWAB",,50,38,,,
,"ACCT","7620","AUDIT II",,"28767","BAMBER",,44,44,,,
,"ACCT","7620","AUDIT II",,"48768","BAMBER",,41,41,,,
,"ACCT","7620","AUDIT II",,"68769","BAMBER",,41,37,,,
,"ACCT","7650","SPECIAL TOPICS ACC",,"68772","HARVEY",,25,26,,,
,"ACCT","7650","SPECIAL TOPICS ACC",,"88773","HARVEY",,23,19,,,
,"ACCT","7700","ACC POLICY",,"08774","BENTSEN",,35,36,,,
,"ACCT","7700","ACC POLICY",,"18775","BENTSEN",,35,34,,,
,"ACCT","7700","ACC POLICY",,"38776","BENTSEN",,34,30,,,
,"ACCT","7800","GRAD INTERN IN ACCT",,"58777","SCHWAB",,20,0,,,
,"ACCT","7999","DIRECT STY ACC",,"42822","THAYER",,1,1,,,
,"ACCT","9000","DOCTORAL RESEARCH",,"51517","AYERS",,5,0,,,
,"ACCT","9000","DOCTORAL RESEARCH",,"81625","HAMMERSLEY",,5,1,,,
,"ACCT","9300","DOCT DISSERTATION",,"01514","AYERS",,3,2,,,
,"ACCT","9300","DOCT DISSERTATION",,"11515","BAMBER",,3,0,,,
,"ACCT","9300","DOCT DISSERTATION",,"31516","BAGINSKI",,3,1,,,
,"ACCT","9300","DOCT DISSERTATION",,"81513","HAMMERSLEY",,3,2,,,
,"ADPR","3100","PRINCIPLES OF ADVT",,"44980","HAMILTON",,300,245,,,
,"ADPR","3110","ADVT MESSAGE STRA",,"04983","LESTER ROUSH",,1,20,,,
,"ADPR","3110","ADVT MESSAGE STRA",,"14984","LANG",,1,20,,,
,"ADPR","3110","ADVT MESSAGE STRA",,"34985","STRAUSBAUGH-",,0,20,,,
,"ADPR","3110","ADVT MESSAGE STRA",,"64981","GRIFFITH",,2,20,,,
,"ADPR","3110","ADVT MESSAGE STRA",,"84982","GRIFFITH",,2,20,,,
,"ADPR","3120","MEDIA PLANNING",,"24993","MCCREERY",,1,22,,,
,"ADPR","3120","MEDIA PLANNING",,"54986","LIN",,1,35,,,
,"ADPR","3120","MEDIA PLANNING",,"94988","KRESHEL",,1,36,,,
,"ADPR","3130","AD RESEARCH",,"34999","TINKHAM",,1,33,,,
,"ADPR","3130","AD RESEARCH",,"84996","PARK",,1,22,,,
,"ADPR","3130","AD RESEARCH",,"85002","AHN",,1,34,,,
,"ADPR","3510","PR RESEARCH",,"25013","SWEETSER",,1,35,,,
,"ADPR","3510","PR RESEARCH",,"25111","CACCIATORE",,1,35,,,
,"ADPR","3520","GRAPHIC COMM",,"05096","SMITH",,2,19,,,
,"ADPR","3520","GRAPHIC COMM",,"35084","SMITH",,6,20,,,
,"ADPR","3520","GRAPHIC COMM",,"35859","STRAUSBAUGH-",,2,20,,,
,"ADPR","3520","GRAPHIC COMM",,"45014","JONES",,4,20,,,
,"ADPR","3520","GRAPHIC COMM",,"75055","JONES",,1,20,,,
,"ADPR","3520","GRAPHIC COMM",,"95087","SMITH",,3,20,,,
,"ADPR","3520","GRAPHIC COMM",,"95106","JONES",,1,20,,,
,"ADPR","3850","PUBLIC RELATIONS",,"25108","REBER",,296,264,,,
,"ADPR","3850H","PUBLIC RELATIONS",,"45109","RUSSELL",,30,21,,,
,"ADPR","4960H","HNRS UNG RESEARCH",,"54529","HAMILTON",,1,1,,,
,"ADPR","5010","ADVT INTERNSHIP",,"15824","REICHERT",,30,2,,,
,"ADPR","5011","PR INTERNSHIP",,"72619","REBER",,30,6,,,
,"ADPR","5100","GLB AND MLTCULT ADV",,"45112","KIM",,10,27,,,
,"ADPR","5140","ADVT & SOCIETY",,"05115","EVANS",,1,26,,,
,"ADPR","5140","ADVT & SOCIETY",,"65113","KRESHEL",,1,28,,,
,"ADPR","5140","ADVT & SOCIETY",,"85114","VENGER",,1,30,,,
,"ADPR","5170","ADVAN STUDIES AD/PR",,"26710","JONES",,30,1,,,
,"ADPR","5170","ADVAN STUDIES AD/PR",,"53719","AHN",,30,1,,,
,"ADPR","5170","ADVAN STUDIES AD/PR",,"86095","STRAUSBAUGH-",,30,2,,,
,"ADPR","5710","ADVT & COMM MAN",,"35120","KIM",,1,30,,,
,"ADPR","5710","ADVT & COMM MAN",,"55118","MCMULLEN",,1,25,,,
,"ADPR","5710","ADVT & COMM MAN",,"55121","PHUA",,1,30,,,
,"ADPR","5740","ADVT/COMM CAMPAIGNS",,"75122","GRIFFITH",,1,23,,,
,"ADPR","5740","ADVT/COMM CAMPAIGNS",,"95123","STRAUSBAUGH-",,1,21,,,
,"ADPR","5760","DIG & SOC COMM STRT",,"05124","PHUA",,26,35,,,
,"ADPR","5760","DIG & SOC COMM STRT",,"25125","LIN",,24,33,,,
,"ADPR","5910","PR ADMINISTRATION",,"45126","SALLOT",,1,29,,,
,"ADPR","5910","PR ADMINISTRATION",,"65127","MENG",,1,24,,,
,"ADPR","5920","PR COMMUNICATIONS",,"65211","REBER",,1,30,,,
,"ADPR","5920","PR COMMUNICATIONS",,"85212","REBER",,1,30,,,
,"ADPR","5950","PR CAMPAIGNS",,"65130","ACOSTA ALZUR",,1,16,,,
,"ADPR","5950","PR CAMPAIGNS",,"85128","MENG",,1,15,,,
,"ADPR","5990","SEM IN AD/PR",,"05132","MYERS",,1,36,,,
,"ADPR","5990","SEM IN AD/PR",,"15133","LANDRUM",,16,10,,,
,"ADPR","5990","SEM IN AD/PR",,"75119","HARRIS",,17,30,,,
