"ACCT","5990            ","DIRECTED STUDY     "
"ACCT","5990            ","DIRECTED STUDY     "
"ACCT","6000            ","FIN ACC            "
"ACCT","7005            ","GRAD STUDENT SEM   "
"ACCT","7100            ","MANAGERIAL I       "
"ACCT","7100            ","MANAGERIAL I       "
"ACCT","7100            ","MANAGERIAL I       "
"ACCT","7200            ","AUDIT RISK & CNTRL "
"ACCT","7200            ","AUDIT RISK & CNTRL "
"ACCT","7200            ","AUDIT RISK & CNTRL "
"ACCT","7310            ","SYSTEMS I          "
"ACCT","7310            ","SYSTEMS I          "
"ACCT","7310            ","SYSTEMS I          "
"ACCT","7400            ","TAXATION I         "
"ACCT","7400            ","TAXATION I         "
"ACCT","7410            ","TAXATION II        "
"ACCT","7410            ","TAXATION II        "
"ACCT","7415            ","TAX POLICY         "
"ACCT","7415            ","TAX POLICY         "
"ACCT","7430            ","ESTATE AND GIFT    "
"ACCT","7435            ","CROSS-JURISDICT TAX"
"ACCT","7440            ","CORP TAX I         "
"ACCT","7620            ","AUDIT II           "
"ACCT","7620            ","AUDIT II           "
"ACCT","7620            ","AUDIT II           "
"ACCT","7630            ","SYSTEMS II         "
"ACCT","7630            ","SYSTEMS II         "
"ACCT","7650            ","SPECIAL TOPICS ACC "
"ACCT","7650            ","SPECIAL TOPICS ACC "
"ACCT","7700            ","ACC POLICY         "
"ACCT","7700            ","ACC POLICY         "
"ACCT","7700            ","ACC POLICY         "
"ACCT","7800            ","GRAD INTERN IN ACCT"
"ACCT","7999            ","DIRECT STY ACC     "
"ACCT","9000            ","DOCTORAL RESEARCH  "
"ACCT","9000            ","DOCTORAL RESEARCH  "
"ACCT","9120            ","CAP MKT ACC RES    "
"ACCT","9300            ","DOCT DISSERTATION  "
"ACCT","9300            ","DOCT DISSERTATION  "
"ACCT","9300            ","DOCT DISSERTATION  "
"ACCT","9300            ","DOCT DISSERTATION  "
"ADPR","3100            ","PRINCIPLES OF ADVT "
"ADPR","3110            ","ADVT MESSAGE STRA  "
"ADPR","3110            ","ADVT MESSAGE STRA  "
"ADPR","3110            ","ADVT MESSAGE STRA  "
"ADPR","3110            ","ADVT MESSAGE STRA  "
"ADPR","3110            ","ADVT MESSAGE STRA  "
"ADPR","3110            ","ADVT MESSAGE STRA  "
"ADPR","3120            ","MEDIA PLANNING     "
"ADPR","3120            ","MEDIA PLANNING     "
"ADPR","3120            ","MEDIA PLANNING     "
"ADPR","3130            ","AD RESEARCH        "
"ADPR","3130            ","AD RESEARCH        "
"ADPR","3130            ","AD RESEARCH        "
"ADPR","3510            ","PR RESEARCH        "
"ADPR","3510            ","PR RESEARCH        "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3520            ","GRAPHIC COMM       "
"ADPR","3850            ","PUBLIC RELATIONS   "
"ADPR","3850H           ","PUBLIC RELATIONS   "
"ADPR","5011            ","PR INTERNSHIP      "
"ADPR","5100            ","GLB AND MLTCULT ADV"
"ADPR","5140            ","ADVT & SOCIETY     "
"ADPR","5140            ","ADVT & SOCIETY     "
"ADPR","5140            ","ADVT & SOCIETY     "
"ADPR","5520            ","ADVGRAPHIC COMM    "
"ADPR","5520            ","ADVGRAPHIC COMM    "
"ADPR","5710            ","ADVT & COMM MAN    "
"ADPR","5710            ","ADVT & COMM MAN    "
"ADPR","5710            ","ADVT & COMM MAN    "
"ADPR","5740            ","ADVT/COMM CAMPAIGNS"
"ADPR","5740            ","ADVT/COMM CAMPAIGNS"
"ADPR","5760            ","DIG & SOC COMM STRT"
"ADPR","5760            ","DIG & SOC COMM STRT"
"ADPR","5910            ","PR ADMINISTRATION  "
"ADPR","5910            ","PR ADMINISTRATION  "
"ADPR","5920            ","PR COMMUNICATIONS  "
"ADPR","5920            ","PR COMMUNICATIONS  "
"ADPR","5920            ","PR COMMUNICATIONS  "
"ADPR","5920            ","PR COMMUNICATIONS  "
"ADPR","5950            ","PR CAMPAIGNS       "
"ADPR","5950            ","PR CAMPAIGNS       "
"ADPR","5990            ","SEM IN AD/PR       "
"ADPR","5990            ","SEM IN AD/PR       "
"ADPR","5990            ","SEM IN AD/PR       "
"ADPR","7950            ","PR CAMPAIGNS       "
"ADPR","7950            ","PR CAMPAIGNS       "
"ADSC","1050            ","THE MEAT WE EAT    "
"ADSC","2000            ","ANIMAL PRACTICUM   "
"ADSC","2000L           ","ANIMAL PRACT LAB   "
"ADSC","2000L           ","ANIMAL PRACT LAB   "
"ADSC","2010            ","INTRO ADS          "
"ADSC","2010            ","INTRO ADS          "
"ADSC","2300            ","COMPANION ANIM CARE"
"ADSC","2500L           ","BEG HORSEMANSHIP   "
"ADSC","2500L           ","BEG HORSEMANSHIP   "
"ADSC","3130            ","ANIM BIOTECH       "
"ADSC","3180            ","MEATS JUDGING I    "
"ADSC","3200            ","EVAL COMPOSIT LVSTK"
"ADSC","3200L           ","EVAL COMPOSIT LAB  "
"ADSC","3210            ","LVSTK EVAL SELEC   "
"ADSC","3210L           ","LVSTK EVAL SEL LAB "
"ADSC","3270            ","ADV DY CATTLE EVAL "
"ADSC","3270L           ","ADV DY EVAL LAB    "
"ADSC","3310            ","FEEDS FEEDING      "
"ADSC","3310L           ","FEEDS FEEDING LAB  "
"ADSC","3400            ","PHYS REPROD        "
"ADSC","3550            ","BEHAV DOMESTIC ANIM"
"ADSC","3610            ","PORK PROD AND MGMT "
"ADSC","3610L           ","PORK PROD LAB      "
"ADSC","3620            ","DAIRY PROD AND MGMT"
"ADSC","3620L           ","DAIRY PROD LAB     "
"ADSC","3630            ","HORSE PROD AND MGMT"
"ADSC","3630L           ","HORSE PROD LAB     "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3700            ","SP PROB ADS        "
"ADSC","3710            ","UNDERGRAD TEACH    "
"ADSC","3710            ","UNDERGRAD TEACH    "
"ADSC","3710            ","UNDERGRAD TEACH    "
"ADSC","3710            ","UNDERGRAD TEACH    "
"ADSC","3710            ","UNDERGRAD TEACH    "
"ADSC","3810            ","ADS ORIENTATION    "
"ADSC","3840            ","AG INCIDENT RESP   "
"ADSC","3910            ","INTERNSHIP IN ADS  "
"ADSC","4370            ","MONOGASTRIC NUTR   "
"ADSC","4390            ","EQUINE NUTRITION   "
"ADSC","4390            ","EQUINE NUTRITION   "
"ADSC","4430            ","EQUINE EXER PHYS   "
"ADSC","4430            ","EQUINE EXER PHYS   "
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","6370            ","MONOGASTRIC NUTR   "
"ADSC","6390            ","EQUINE NUTRITION   "
"ADSC","6390            ","EQUINE NUTRITION   "
"ADSC","6430            ","EQUINE EXER PHYS   "
"ADSC","6430            ","EQUINE EXER PHYS   "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7300            ","MASTER'S THESIS    "
"ADSC","7300            ","MASTER'S THESIS    "
"ADSC","7300            ","MASTER'S THESIS    "
"ADSC","7300            ","MASTER'S THESIS    "
"ADSC","8700            ","SPEC PROB IN ADS I "
"ADSC","8700            ","SPEC PROB IN ADS I "
"ADSC","8800            ","GRADUATE SEMINAR   "
"ADSC","8800            ","GRADUATE SEMINAR   "
"ADSC","8800            ","GRADUATE SEMINAR   "
"ADSC","8800            ","GRADUATE SEMINAR   "
"ADSC","9000            ","DOCTORAL RESEARCH  "
"AESC","2050            ","AGRIC AND CULTURE  "
"AESC","3920            ","AGR ENV SCI INTERN "
"AESC","4700            ","AGROSECURITY SEM   "
"AESC","4920S           ","FOCUS:SERV LEARN EX"
"AESC","4920S           ","FOCUS:SERV LEARN EX"
"AESC","4920S           ","FOCUS:SERV LEARN EX"
"AESC","4920S           ","FOCUS:SERV LEARN EX"
"AESC","4950            ","SPEC PROB IN AESC  "
"AESC","6920S           ","FOCUS:SERV LEARN EX"
"AFAM","2000            ","INTRO AFRI AMER ST "
"AFAM","2000            ","INTRO AFRI AMER ST "
"AFAM","2150            ","CULTURAL DIVERSITY "
"AFAM","2150            ","CULTURAL DIVERSITY "
"AFAM","2820            ","AM RACE & ETHNICITY"
"AFAM","4250            ","AFRICAN AM SEMINAR "
"AFAM","4500            ","PSYCH OF PREJUDICE "
"AFAM","4630            ","AFRI AMER FICTION  "
"AFAM","4860            ","AFR HISPANIC IDENT "
"AFAM","4880            ","TOPICS AFR AMER LIT"
"AFAM","4880            ","TOPICS AFR AMER LIT"
"AFAM","6500            ","PSYCH OF PREJUDICE "
"AFAM","6860            ","AFR HISPANIC IDENT "
"AFST","2100            ","INTRO AFRICA       "
"AFST","2501            ","AFRICA TO 1800     "
"AFST","3010            ","SWAHILI STUDIES I  "
"AFST","3030            ","AFR LANG AND CULT  "
"AFST","3512            ","19-20 CENT E AFRICA"
"AFST","3900            ","INTRO SRV LRN AFR  "
"AFST","4200            ","AFRICA CRIT ISSUES "
"AFST","4625            ","AFREL ESCATH       "
"AFST","4710            ","INTERNATIONAL AGDEV"
"AFST","4950            ","AFRICA SEMINAR     "
"AFST","6200            ","AFRICA CRIT ISSUES "
"AFST","6625            ","AFREL ESCATH       "
"AFST","6710            ","INTERNATIONAL AGDEV"
"AGCM","1200            ","INTRO TO AG COMM   "
"AGCM","1200            ","INTRO TO AG COMM   "
"AGCM","3000            ","BTEC ETH COMM      "
"AGCM","3810            ","INTRO DIG PHOTO AG "
"AGCM","3910            ","AG COM INTERNSHIP  "
"AGCM","3910            ","AG COM INTERNSHIP  "
"AGCM","4000            ","SPEC PROB AG COMM  "
"AGCM","4000            ","SPEC PROB AG COMM  "
"AGCM","4200            ","AGRIBUS COMM       "
"AGCM","4200            ","AGRIBUS COMM       "
"AGED","3010            ","APPL LEAD COMM AG  "
"AGED","4000            ","DIRECT PROJ EDUC   "
"AGED","4010            ","AG ED LEAD SEM     "
"AGED","4340            ","DEV COM PROG AG    "
"AGED","4350            ","CURR PLAN IN AG ED "
"AGED","4360            ","INST STRAT IN AG ED"
"AGED","5460            ","STU TEACH IN AG ED "
"AGED","6010            ","AG ED LEAD SEM     "
"AGED","6340            ","DEV COM PROG AG    "
"AGED","6350            ","CURR PLAN IN AG ED "
"AGED","6360            ","INST STRAT IN AG ED"
"AIRS","1001            ","FOUNDATNS OF USAF I"
"AIRS","1001            ","FOUNDATNS OF USAF I"
"AIRS","1001L           ","LEADER LAB I GMC   "
"AIRS","2001            ","AIR POWER HISTORY I"
"AIRS","2001            ","AIR POWER HISTORY I"
"AIRS","2001L           ","LEADER LAB I GMC   "
"AIRS","3001            ","AF LDRSHP STUDIES I"
"AIRS","3001            ","AF LDRSHP STUDIES I"
"AIRS","3001L           ","LEADER LAB I POC   "
"AIRS","4001            ","NATL SEC AFFAIRS I "
"AIRS","4001            ","NATL SEC AFFAIRS I "
"AIRS","4001L           ","LEADER LAB I POC   "
"ALDR","3820H           ","REF FIGHTING HUNGER"
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3900S           ","LEADERSHIP         "
"ALDR","3910            ","INTERN LEADERSHIP  "
"ALDR","4710            ","INTERNATIONAL AGDEV"
"ALDR","6710            ","INTERNATIONAL AGDEV"
"ALDR","7000            ","MASTER'S RESEARCH  "
"ALDR","7000            ","MASTER'S RESEARCH  "
"ALDR","7000            ","MASTER'S RESEARCH  "
"ALDR","7100            ","DIR STUDY AGR LDR  "
"ALDR","7100E           ","DIR STUDY AGR LDR  "
"ALDR","7110E           ","SPEC PROBS IN ALDR "
"ALDR","7110E           ","SPEC PROBS IN ALDR "
"ALDR","7110E           ","SPEC PROBS IN ALDR "
"ALDR","7300            ","MASTER'S THESIS    "
"ALDR","7300            ","MASTER'S THESIS    "
"ALDR","7300            ","MASTER'S THESIS    "
"ALDR","7350E           ","ORG DEV IN AG      "
"ALDR","7400E           ","COMM AG ENV SCI    "
"ANTH","1102            ","INTRO ANTHROPOLOGY "
"ANTH","1102            ","INTRO ANTHROPOLOGY "
"ANTH","1102            ","INTRO ANTHROPOLOGY "
"ANTH","1102            ","INTRO ANTHROPOLOGY "
"ANTH","2010            ","PLANT PATH & PEOPLE"
"ANTH","2100            ","INTRO AFRICA       "
"ANTH","2120H           ","INTRO TO ANTHRO    "
"ANTH","2120H           ","INTRO TO ANTHRO    "
"ANTH","2120H           ","INTRO TO ANTHRO    "
"ANTH","2120H           ","INTRO TO ANTHRO    "
"ANTH","3010            ","FUNGI FRIENDS&FOES "
"ANTH","3030            ","AFR LANG AND CULT  "
"ANTH","3040            ","INTRO TO BIO ANTH  "
"ANTH","3220            ","INTRO PREHIST ARCH "
"ANTH","3310            ","CULTURES OF SE ASIA"
"ANTH","3541            ","ANTH OF EATING     "
"ANTH","4015            ","LANDSCAPES/MEMORIES"
"ANTH","4075            ","ECONOMIC ANTH      "
"ANTH","4261            ","MUS NAT HIST INTERN"
"ANTH","4262            ","FORAGING TO FARMING"
"ANTH","4310            ","ARCH EAST N AMER   "
"ANTH","4315            ","ARCHAEOLOG OF GEORG"
"ANTH","4460            ","AZTECS & MAYA      "
"ANTH","4540            ","HLTH BIOL & CUL    "
"ANTH","4560            ","ANTH OF DEVELOPMENT"
"ANTH","4700            ","ARCHAEO GEOLOGY    "
"ANTH","4740            ","PRIMATE ECOL EVOL  "
"ANTH","4900            ","SPEC TOPICS-ANTHRO "
"ANTH","4900            ","SPEC TOPICS-ANTHRO "
"ANTH","4900            ","SPEC TOPICS-ANTHRO "
"ANTH","4900            ","SPEC TOPICS-ANTHRO "
"ANTH","4900            ","SPEC TOPICS-ANTHRO "
"ANTH","4911            ","SENIOR CAPSTONE    "
"ANTH","4911            ","SENIOR CAPSTONE    "
"ANTH","4915            ","TOPICS IN RESEARCH "
"ANTH","4950            ","INDIV TOPICS ANT   "
"ANTH","4950            ","INDIV TOPICS ANT   "
"ANTH","4960H           ","DIRECT READ OR PROJ"
"ANTH","6015            ","LANDSCAPES/MEMORIES"
"ANTH","6075            ","ECONOMIC ANTH      "
"ANTH","6262            ","FORAGING TO FARMING"
"ANTH","6310            ","ARCH EAST N AMER   "
"ANTH","6315            ","ARCHAEOLOG OF GEORG"
"ANTH","6460            ","AZTECS & MAYA      "
"ANTH","6490            ","FOUND ECOL ANTH    "
"ANTH","6520            ","HIST ANTH THEORY   "
"ANTH","6540            ","HLTH BIOL & CUL    "
"ANTH","6560            ","ANTH OF DEVELOPMENT"
"ANTH","6700            ","ARCHAEO GEOLOGY    "
"ANTH","6740            ","PRIMATE ECOL EVOL  "
"ANTH","6900            ","SPEC TOPICS-ANTHRO "
"ANTH","6900            ","SPEC TOPICS-ANTHRO "
"ANTH","6900            ","SPEC TOPICS-ANTHRO "
"ANTH","8200            ","SEMINAR ARCHAEOLOGY"
"ANTH","8500            ","SEM ECOL ANTH      "
"ANTH","8500            ","SEM ECOL ANTH      "
"ANTH","8500            ","SEM ECOL ANTH      "
"ANTH","8610            ","FIELD METH ECOL ANT"
"ANTH","8610            ","FIELD METH ECOL ANT"
"ANTH","8610            ","FIELD METH ECOL ANT"
"ANTH","8630            ","ANTHRO RSRCH DESIGN"
"ANTH","8755            ","TOPICS IN RESEARCH "
"ANTH","8755            ","TOPICS IN RESEARCH "
"ANTH","8755            ","TOPICS IN RESEARCH "
"ANTH","9005            ","DOC GRAD STU SEM   "
"ARAB","1001            ","ELEM STAND ARB I   "
"ARAB","1001            ","ELEM STAND ARB I   "
"ARAB","1001            ","ELEM STAND ARB I   "
"ARAB","1001            ","ELEM STAND ARB I   "
"ARAB","1001            ","ELEM STAND ARB I   "
"ARAB","1001            ","ELEM STAND ARB I   "
"ARAB","2003            ","INTERMDTE ARB I    "
"ARAB","2003            ","INTERMDTE ARB I    "
"ARAB","3005            ","ADVANCED ARB I     "
"ARAB","4100            ","READ AND RSCH ARB  "
"ARAB","4107            ","ISLAMIC ARABIC I   "
"ARAB","6107            ","ISLAMIC ARABIC     "
"ARED","2110            ","CRIT&CONTEMP ISSUES"
"ARED","3050            ","ART AND THE CHILD  "
"ARED","3050            ","ART AND THE CHILD  "
"ARED","3350            ","ELEM CUR ART ED    "
"ARED","3360            ","SEC CUR ART ED     "
"ARED","4010            ","ART CRIT AES UND   "
"ARED","5230            ","SPEC PROB IN AED   "
"ARED","5460            ","STU TCH ART EDU    "
"ARED","5460            ","STU TCH ART EDU    "
"ARED","5460            ","STU TCH ART EDU    "
"ARED","5460            ","STU TCH ART EDU    "
"ARED","5470            ","ISS AND PRAC       "
"ARED","5470            ","ISS AND PRAC       "
"ARED","5470            ","ISS AND PRAC       "
"ARED","5470            ","ISS AND PRAC       "
"ARED","6010            ","ART CRIT AES UND   "
"ARED","7230            ","SPEC PROB IN AED   "
"ARED","7350            ","TCHNG ART ELEM SCH "
"ARED","7360            ","SEC CUR ART ED     "
"ARED","7470            ","ISS AND PRAC       "
"ARED","7650            ","APP PROJECT ART EDU"
"ARED","8410            ","HIST OF ART ED     "
"ARED","9630            ","WRT CRT ART EDU    "
"ARGD","2010            ","GRAPHICS SURVEY    "
"ARGD","2010            ","GRAPHICS SURVEY    "
"ARGD","3010            ","DES DRAW TECH      "
"ARGD","3020            ","ELECTRONIC DESIGN  "
"ARGD","3030            ","TYPOGRAPHY         "
"ARGD","3050            ","ILLUSTRATION       "
"ARGD","3060            ","LAYOUT             "
"ARGD","3070            ","HIS OF GRA DES     "
"ARGD","3080            ","INTERN GRA DES     "
"ARGD","3090            ","PHOTO FOR GRAPHICS "
"ARGD","3310            ","TNQ TOP SCI ILL    "
"ARGD","3330            ","COLOR SCI ILL      "
"ARGD","3340            ","DIR STU SCI ILL    "
"ARGD","4020            ","ENVI GRA DES       "
"ARGD","4020            ","ENVI GRA DES       "
"ARGD","4030            ","ADV TYPOGRAPHY     "
"ARGD","4060            ","ADV LAYOUT         "
"ARGD","4070            ","3-D GRA DES        "
"ARGD","4080            ","SP PROB IN DESIGN  "
"ARGD","4080            ","SP PROB IN DESIGN  "
"ARGD","4090            ","ADV ELEC DES       "
"ARGD","4110            ","PORTFOLIO PROJ     "
"ARHI","2300            ","ART HISTORY I      "
"ARHI","2300            ","ART HISTORY I      "
"ARHI","2300            ","ART HISTORY I      "
"ARHI","2311H           ","ART HISTORY I      "
"ARHI","2400            ","ART HISTORY II     "
"ARHI","2400            ","ART HISTORY II     "
"ARHI","2411H           ","ART HISTORY II     "
"ARHI","3002            ","GREEK ART & ARCH   "
"ARHI","3010            ","MEDIEVAL ART&ARCHIT"
"ARHI","3020            ","RENAISSANCE ART    "
"ARHI","3050            ","AMERICAN ART       "
"ARHI","3056            ","19C EUROPEAN ART   "
"ARHI","3065            ","MOD ART            "
"ARHI","3100            ","ASIAN ART          "
"ARHI","4060            ","BYZ IMAGE IN SPACE "
