"ADSC","4360            ","RUMINANT NUTR      "
"ADSC","4410            ","APPL ANIM REPROD   "
"ADSC","4410L           ","APPL ANIM REPRO LAB"
"ADSC","4960            ","UNGRAD RESEARCH ADS"
"ADSC","4960H           ","UNGRAD RESEARCH ADS"
"ADSC","6170            ","EXP TEC IN MEAT SCI"
"ADSC","6170L           ","EXP MEAT SCI LAB   "
"ADSC","6230            ","ANAT&BIOMECH HORSE "
"ADSC","6230L           ","ANAT&BIOMECH HORSE "
"ADSC","6360            ","RUMINANT NUTR      "
"ADSC","6410            ","APPL ANIM REPROD   "
"ADSC","6410L           ","APPL ANIM REPRO LAB"
"ADSC","7000            ","MASTER'S RESEARCH  "
"ADSC","7300            ","MASTER'S THESIS    "
"ADSC","7990            ","TEACH PRACTICUM    "
"ADSC","8120            ","EXP METH IN BIOTECH"
"ADSC","8120L           ","METH-BIOTECH-LAB   "
"ADSC","8700            ","SPEC PROB IN ADS I "
"ADSC","8800            ","GRADUATE SEMINAR   "
"ADSC","8888            ","CUR LIT STEM CELL  "
"ADSC","9000            ","DOCTORAL RESEARCH  "
"ADSC","9300            ","DOCT DISSERTATION  "
"AESC","2050            ","AGRIC AND CULTURE  "
"AESC","2990S           ","COMM LATINOS HORT  "
"AESC","3150            ","TOPICS IN INTL AGR "
"AESC","3920            ","AGR ENV SCI INTERN "
"AESC","4920S           ","FOCUS:SERV LEARN EX"
"AESC","4950            ","SPEC PROB IN AESC  "
"AESC","6920S           ","FOCUS:SERV LEARN EX"
"AFAM","2000            ","INTRO AFRI AMER ST "
"AFAM","2020            ","AFRICAN AM SOCIETY "
"AFAM","2150            ","CULTURAL DIVERSITY "
"AFAM","2600            ","BLACK DIASPORA LIT "
"AFAM","3101            ","EARLY AFR AME EXPER"
"AFAM","3230            ","AFRICAN AMER LIT   "
"AFAM","3820            ","INTERRACIAL COMM   "
"AFAM","4250            ","AFRICAN AM SEMINAR "
"AFAM","4480            ","HIST OF AF AM DRAMA"
"AFAM","4860            ","AFR HISPANIC IDENT "
"AFAM","6860            ","AFR HISPANIC IDENT "
"AFST","1200            ","INTRO AFRCN RELI   "
"AFST","2100            ","INTRO AFRICA       "
"AFST","3020            ","SWAHILLI STUDIES II"
"AFST","3030            ","AFR LANG AND CULT  "
"AFST","3150            ","INTRO MOD AFR LIT  "
"AFST","3530            ","WOM IN SUB-SAH AFRI"
"AFST","3540            ","AFR IN WORLD WARS  "
"AFST","3545            ","HIST OF THE SAHARA "
"AFST","3820            ","REF FIGHTING HUNGER"
"AFST","3990            ","DIR STUDY AFST     "
"AFST","4001            ","YORB CULT AND CIVI "
"AFST","4245            ","ORAL LIT           "
"AFST","4461            ","AFRICAN ETHNOGRAPHY"
"AFST","4620            ","AFRCN RELI DIASPORA"
"AFST","6245            ","ORAL LIT           "
"AFST","6461            ","AFRICAN ETHNOGRAPHY"
"AFST","6620            ","AFRCN RELI DIASPORA"
"AGCM","1200            ","INTRO TO AG COMM   "
